,모델명,날짜,별점,제목,본문
444,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 12 January 2021,3.0 out of 5 stars,Heavy noise device,Compressor is giving continuously heavy noise.
445,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 3 April 2022,1.0 out of 5 stars,Cooling fan not working within 6 months,Cooling fan stoppen working with in six months after we purchased. Engineer said to avoid these issues we need to use stabilizer. But it was clearly mentioned no need of stabilizer. I believe amazon selling 3rd class products which were repaired already. I would suggest dont buy in amazon even you get for less price. Its totally cheating the customers.
446,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 30 October 2021,1.0 out of 5 stars,High time worst....,Please do not buy this product. I have received this product on 7 th October and within 10 days it stopped working. LG guys will keep you on hope for infinite time and will never give you a solution. Today it's 30th but still no resolution. After sales service is high level worst. LG will ignored you like they have did some benevolence on us.
447,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 9 November 2021,1.0 out of 5 stars,Vary bad circuit design by LG,Vary bad product. I purchased and within 8 days only ants and cockroaches broke the entire circuits. LG has not designed this product bugfree. Ants and cockroaches are common in the kitchen so I am vary much surprised that how LG designers missed this common thing. I preferred to return this product but LG and amazon made me fool.
448,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 3 April 2023,1.0 out of 5 stars,Poor quality refrigerator,cooling fan of the fridger stops working after every 8 to 10 months and they charge huge money for the same. Don't buy it
449,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 7 April 2023,1.0 out of 5 stars,Defective product,"Review after Two years .
Defective product. No support from LG on this model.
Better stay away ."
450,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 7 January 2023,1.0 out of 5 stars,Faulty Refrigerator,Completely pathetic and faulty refrigerator. The sensors and fan stopped working just after 1 year of purchase. Nothing is covered by warranty.
451,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 18 August 2024,1.0 out of 5 stars,Disappointed,Received an damage product and it took lots of trouble for returning the damage product and get back the money which I have given
452,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 5 January 2023,1.0 out of 5 stars,Very bad product,Using it for a more than year now and not happy with either quality of product or service provider
453,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 29 May 2022,1.0 out of 5 stars,coverible freeze actually this is not converible freeze.bcs every two days you must change mode,They write coverible freeze bit actually this is not converible freeze.bcs every two days you must change a mode. So yuo shoud not buy this model if you try to save energy
454,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 5 October 2021,1.0 out of 5 stars,Worst Amazon experience,Don't buy this at any cost. Item will be delivered but demo and installation proper updy are not at all available. If you ask Amazon customer service they tell us to contact LG and if we want to connect to LG nobody replies or they provide any updates
455,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 30 May 2022,1.0 out of 5 stars,"We already compain , during installation technician found tray broken below ice tray. He mentioned.","Technician mentioned in his report, which we shared to you. Pls get replaced urgent .
If not, means not 100% customers satisfaction."
456,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 29 August 2022,1.0 out of 5 stars,Fridge started giving problems in one year,"Hi,
The fridger of the fridge stops working after one year. Very disappointed by the LG as this is my first product.
Please dont buy blindly"
457,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 6 January 2021,1.0 out of 5 stars,Cheated by AMOZON on this product,"Purchased products in the month of NOV 2020 through amozon and the product is not working and have raised complaint with LG Dear Customer,
Your Complain RNP201228031088 is in process(Reason : Gas Charging.).For any support,
LG is not able to solve the issue
And no support from AMAZON as well"
458,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 17 October 2020,2.0 out of 5 stars,Cheap quality,Poor quality of vegitable & fuit box contains ner . It is cheap third class plastic.
459,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 26 February 2022,1.0 out of 5 stars,Seller should check the product properly before shipment.,"Overall good product,but getting a cracking sound while closing the refrigerator door,processed for replacement.Hope this time I should get best one with zero defect."
460,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 27 December 2021,1.0 out of 5 stars,Very poor quality product,"Had bought this in march 2021 stopped working in dec 2021 got it repaired,now again the same problem same error msg I have posted the photo of the same."
461,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 12 June 2021,1.0 out of 5 stars,Receivd in damaged condition,"5 stars for fastest delivery but
Refrigerator received with a damage at the upper right hand corner
It can be understood damage at outer body but surprised to see damaged vegetable box eventhough having so much packing.
Strange"
462,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 20 June 2020,2.0 out of 5 stars,LG servervice is horrible,"16/06/2020 i received item ,completed 4 days still not done installation Horrible LG service.....Too bad"
463,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 20 February 2021,2.0 out of 5 stars,Very disappointed 😞,Very disappointed.
464,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 13 December 2023,3.0 out of 5 stars,Product is good but the suspicious activity of price change during sale is not acceptable,"Product is good as I got after bank discount and exchange @ 26899**
Seller are not trust W0rthy
Price tracker are also not able to track prices"
465,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 12 June 2021,1.0 out of 5 stars,DONT BUY IT,ITS NOT WORTHY I GOT A FAULTY PRODUCT AND I AM TRYING TO RETURN IT BUT ITS NOT AMAZON AND DELIHVERY ARE PLANNING AND PLOTING FOR NOT DONIG PICKUP
466,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 12 May 2021,1.0 out of 5 stars,Could have bought ather model.,"You can not keep anything on top of fridge some power unit is there. We Indian use fridge top shelf.
Digital display is inside which is bad."
467,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 13 June 2021,1.0 out of 5 stars,Poor response,Product delivered and time but no response from installation team after multiple follow ups and reminders. Worst response from installation team
468,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 22 June 2024,1.0 out of 5 stars,Never buy Lg refrigerator,"Worst experience with Lg customer service no response at all .
My refrigerator was not working from last 1 month when i call customer support they suggest me to call Lg head office and no one is receiving my call in head office .
I"
469,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 2 April 2021,1.0 out of 5 stars,Deliver damage product,Deliver a damaged product afterwards offers some cashback to accept that damaged product but I refused and request for replacement but again deliver the damaged product.
470,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 30 October 2023,3.0 out of 5 stars,Good,"Good refrigerator but received a dented one so asked the delivery boy to cancel it.
Will order again and update the review accordingly"
471,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 27 October 2021,1.0 out of 5 stars,Quality,Quality of the body is not good. It was delivered with dent
472,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 2 April 2022,1.0 out of 5 stars,waste product,"Play Video
6 months"
473,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 15 May 2022,1.0 out of 5 stars,Not working within 6 months,Worthless
474,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 8 October 2023,2.0 out of 5 stars,Amazon need to fix description,"This is 2 star energy rating,but all places it is described as 3 star. Very bad on Amazon to give wrong information."
475,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 4 August 2021,1.0 out of 5 stars,Useless product with no auto defrost,
476,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 19 March 2024,1.0 out of 5 stars,Dont buy LG refrigerators cos no backup support at all,Don't buy lg refrigerators cos I purchased days earlier n within 24 hrs become defective and no response from lg side no backup support at all.
477,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 10 September 2020,1.0 out of 5 stars,Bad product,Value for money
478,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 18 April 2024,3.0 out of 5 stars,Some really unpleasant changes,"I'm a loyal LG customer but this one choice has me completely confused and frustrated, it was like the fridge was designed by someone who never uses one.

They look a lovely refrigerator, made is quieter - extra points for that, took away all color options and stuck to a bland silver, and here's the double whammy - they removed all the slots for putting the shelves!

If you want to change the spacing - which is pathetic by the way - large spaces at the bottom which cannot be divided at all, there's no way of working around it other than using some stackable boxes. No flexibility at all.

Secondly, unfortunately we didn't realise this when we went to buy the fridge (bought it elsewhere, so it was really bad inspection on our part but we never had these issues before so didn't know better) - the door does NOT close automatically! This apparently is a very 'smart' feature now applicable in all new LG refrigerators. If you gently close the fridge door, it will stall at half closed, and not close automatically.

Thirdly, they take your health very seriously. Taking out the vegetable tray will mean literally bending all the way to the floor - the opening handle is at the very bottom! Genius design, as I mentioned. Another thing we didn't really note when we bought this. My mistake that I had a preference for LG. It is very quiet though, which is important to me.

Fourth, if you want to readjust the fridge temperature, you will have to press the buttons by shoving your head into the fridge as it is at the back. New designs like Samsung have this on the door.

So think twice. The advantages here are the silent functioning and if you want it, the enormously large third shelf, but there are so many cons in the whole series by LG right now, you might want to consider another brand."
479,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 27 September 2023,1.0 out of 5 stars,Don't Buy LG,They stopped their invertor compressor production before our 10 year compressor warranty. After that they will not able to repair the refrigerator. Nor they are replacing the refrigerator on their own cost. Only 20% cost they are giving back to us to buy new product. Non-technical services provided by LG Electronic.
480,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 22 October 2023,1.0 out of 5 stars,I bought it 2 times and both the tym product was defected,I definitely not like the product and the seller. Seller is sending continuously defected item and Amazon is not blacklisting this seller..
481,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 31 December 2023,1.0 out of 5 stars,damage product recieved,damage product recieved no exchange option available refund takes time longer than expected. . . . . . . .
482,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 30 April 2022,2.0 out of 5 stars,Freezing cooling Power issue..Looks like inbuilt inverter won’t work in India,Freezing cooling Power issue..Looks like inbuilt inverter won’t work in India. Bought in 2019. Waste of money . Be careful
483,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 5 July 2020,3.0 out of 5 stars,No lights in freezer,Freezer have no lights why so ?
484,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 6 November 2020,1.0 out of 5 stars,"Gas leaked in 3 years, no service provided by LG","I have a LG fridge which is 2017 model but looks and features are exactly the same as this.

Within 3 years, the cooling stopped and it was as good as a cupboard.

Now the reason we all buy big brands like LG and samsung is not just quality but also the fact that they have the best after sales service. And up until now, this is what i thought as well.

Its been 7 days since since my fridge stopped working and I've been calling them every single day for repair service and everyday they tell the same thing..""sir, you will get a call from technician today""

This just proves that their service is as pathetic as their product quality...at least in Hyderabad its not what i expected."
485,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 15 June 2020,2.0 out of 5 stars,Not Convrtable frm freezer to fridge,This is not convertable from freezer to fridge . This twice before buy. the out side stiker showing convertable but it is not.
486,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",Reviewed in India on 22 April 2022,1.0 out of 5 stars,Don't buy it,Worst product and service by LG. Stopped working within few years. Smart diagnosis is not working at LG end. Don't buy it
487,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 10 August 2024,1.0 out of 5 stars,LG refrigerator moisturizer all 4 side this is the first time I have seen like this refrigerator,"Thank to Amazon India for taking back the refrigerator return. I had complain LG regarding the refrigerator is moisturize all 4 side and water is coming down LG service person is telling my refrigerator also same issues I told my mother to take cloth and clean it Normal season issues this type of technician LG Goa having The refrigerator insulation material is poor or water has absorbed in the insulation material the reason the moisture is coming and the technician is telling season problem this type of refrigerator is manufacturing in India by LG refrigerator
I have been using for year no season issues and also brought Samsung refrigerator along with LG refrigerator no issues of season moisture only LG having season issues very bad refrigerator and very bad LG service in Goa"
488,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 16 August 2024,3.0 out of 5 stars,Stunning Product,"It's an amazing refrigerator, full of space, nice cooling, stunning look. Good build quality, overall nice to have.
Only thing I noticed is electricity bill amount is increased by Rs.500"
489,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 11 August 2024,3.0 out of 5 stars,Not Satisfied with this LG product,As I buy this expensive Big freeze. But it's not Convertable. Really embbarased.
490,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 11 August 2024,3.0 out of 5 stars,Good but features are not available,"Good one but little outdated as per pricing, better models available in this price"
491,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 15 June 2024,3.0 out of 5 stars,No glass door,Was expecting glass finish door but it’s not. And also no option to change freezer to refrigerator.
492,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 17 March 2024,3.0 out of 5 stars,"Looks elegant, spacious, but doors cooling is isn't good","Delivery was good. There are minor scratches at the back, but no major damage. Delivery people carefully got the refrigerator to the 4th floor, and I appreciate their efforts. But, LG customer service is pathetic. Technician had come next day to install, did not explain functions clearly. He left the manual with customer copy inside the refrigerator and turned it on. We found it next day when we started loading the fridge. When called the local LG support here, they said they'll look into it. I don't think they're efficient. Technician asked us to pay 11k for extra warranty which is ridiculous. Though we didn't fall for his tricks, they need to stop looting customers. Overall, not very happy with LG. Will definitely not recommend this one or for that matter any LG appliances."
493,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 10 August 2024,1.0 out of 5 stars,No after sale service at all,"I will write a detailed review soon. But trust me about one thing, you will be fed up of their after sales services for sure. Horrible experience. Was a loyal LG customer until this product was delivered."
494,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 10 August 2024,1.0 out of 5 stars,There are two dents on side of door,The dents wAs covered with blue stickers and was not visible at the time of delivery
495,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 29 June 2024,1.0 out of 5 stars,No after sales service,"My refrigerator is stopped working, it was getting hot but service technician told it is normal.
I have done the call log, then escalated after few days when no one visited then done follow up for the escalation still no one visited.
Then I mail the LG MD H.J Jeon, still no one visited after 10 days of dropping mail.
I think worst company with worst products."
496,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 7 July 2024,1.0 out of 5 stars,"No cooling ,only moisture","No cooling and only water droplets and moisture inside fridge leading to contamination of food. The fridge has been repaired 3 times within 1 year and soon warranty will go out.
Very very poor service for such a big price paid. DO NOT BUY THIS"
497,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 11 June 2024,1.0 out of 5 stars,Good product. Amazon’s worst way of handling,"Product delivered and working fine.

Purchased on EMI with ICICI Bank credit card as an offer was going. Received statement from ICICI Bank to pay in full.

Multiple follow ups did not help. After waiting for more than 15 minutes customer service agents were cutting calls.

A very frustrating experience after purchasing several lakh Rupees goods since 7+ years from Amazon.

Felt like dealing with a faceless organisation."
498,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 19 July 2024,1.0 out of 5 stars,Wrost experience from amazon,Product is good but delivered damaged and defective item
499,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 18 October 2023,1.0 out of 5 stars,Worst Service| Damage Product Delivered | No replacement,"The work service provider in the country.
Don't buy anything electronic from AMAZON or Anything from AMAZON

The product delivered was damaged, When told to delivery boy with open box delivery he informed just provide me OTP I will logde a return.
After no call received, I called customer's care he said there will be no return. I said ok
The installation guy visited he said the product is defective, this can’t work.
I again called customer care that kindly replace this is defective.

I got a beautiful answer that the product can’t be replaced because our internal system doesn’t allow this whether you’re having replacement till 23rd October also.

Out of this the product is available at website, I have an option for replacement till 23rd but due to our internal systems we can’t replace.
Kindly use the defective product by paying 100% of the amount

There is no option for a NEGATIVE rating I have given that to the whole team"
500,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 1 December 2023,1.0 out of 5 stars,Pathetic Product_Worst Service_Dont Buy,"The LG refrigerator I bought has turned out to be an immense letdown. I have undergone six service engineer visits within 1st 3 months of the purchase, with each visit consuming an agonizing 4-5 hours of my time. During these visits, various components of the refrigerator were replaced multiple times, which suggests that the root cause of the problem remains elusive. This situation is wholly unacceptable, and I find it extremely distressing that a renowned brand like LG is unable to provide a satisfactory resolution to a problem that has persisted for so long. Even today, it consistently malfunctions every 10 days, leading to food spoilage and necessitating repetitive part replacements—all without resolving the recurring issue. This ongoing ordeal has severely disrupted my routine, undermined my faith in LG's reliability, and resulted in substantial inconvenience. This product has failed to meet even the most basic expectations of quality and dependability, leaving me profoundly dissatisfied and disillusioned."
501,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 3 June 2024,1.0 out of 5 stars,No cooling,"No cooling,contacting LG for support but they are telling that will get a call in 72 hours"
502,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 9 June 2024,1.0 out of 5 stars,Defective item received and now facing challenge in replacement or refund,Defective piece delivered by this vendor and now facing challenge in replacement or refund
503,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 7 May 2024,1.0 out of 5 stars,Product not usable,"Wrong/ false promise of installation with in 4 hours.

No ease of use."
504,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 8 January 2024,1.0 out of 5 stars,"Do not buy this for home purpose, it's an useless thing.","Left side freezer starts from 15 and above which is over freezing things inside the fridge, you must aware of convertible and non convertible because this will make huge lose. Never ever choose this product you cannot maintain the temperature in the left freezer. Waste of space. Seriously disappointed with this product and there is no exchange value for it."
505,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 30 May 2024,1.0 out of 5 stars,Current,It is giving us current
506,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 13 July 2018,1.0 out of 5 stars,DISAPPOINTING PRODUCT AND HORRIFYING AFTER SALES SERVICE,"I bought this refrigerator over so many other options in the market and I am regretting my decision every minute. Within about a week of installation of the refrigerator, freezer door started opening on it's own and would not stay closed. In first visit, technician did some repair and for one 2-3 days there was no problem. But it started again and this time technician visited only to inform that he doesn't have required tools. He left without attending to the complain and asked me not to raise complaint again as he would return in 3-4 days time with the tools (as the tools were to be received from out of station).
That guy never returned but a new problem also started. This time there was condensation in the fridge side of the refrigerator and the complete section was dripping with water. All of my vegetables and fruits got spoiled.
I called up customer care who told me that the complaint of door not getting closed has already been closed by them. So as per them I am not having any issues now. For further assistance, I was asked to call a mobile no of CCO (Manager) 9988077785 who would take care of my problem. Despite of my calling this number umpteenth times no one picked the call.
On calling customer care, they told me that they will ensure a call back. I am STILL WAITING."
507,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 13 March 2024,1.0 out of 5 stars,Damaged product,Be careful while accepting the order as these orders are open box delivery do not accept the product and share delivery code before verifying the product completely.
508,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 28 August 2019,3.0 out of 5 stars,SERVICE?,"We keep ringing all their numbers, including toll free numbers and are being shunted from pillar to post. My wife and I are both 86 years of age. Hence we are not au fait with modern technology. Secondly, as fairly recent arrivals in Goa, we do not speak or understand local languages. Please help us. Please contact LF Service to come and attend to our Fridge which is still under warranty. Thank you. Richard Nunes, BP, Moira."
509,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 19 October 2021,3.0 out of 5 stars,Fridge with very good storage capacity but no accessories and trays.,"Fridge has good capacity but no trays for diary ,eggs, fruits and ice . It is just like a cold almirah .
Many improvements needed in this product.."
510,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 29 October 2018,3.0 out of 5 stars,"Good fridge, bad Company","I received it with 2 dents in the door, and Amazon offered to refund my money, not replace the fridge. However LG refused to replace the door on my request, citing online purchase. The fridge itself is very silent and cooled fast enough on the trial run.
What the hell is their problem when they are the manufacturer. 0 stars for LG customer service, 5 stars for a good fridge."
511,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 15 May 2024,1.0 out of 5 stars,Well MRP is 110399 whereas Amazon is showing 1.2 lakhs something,Play Video
512,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 30 March 2024,1.0 out of 5 stars,Detect,Receive defective product
513,"LG 655 L Frost-Free Smart Inverter Double Door Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",Reviewed in India on 27 February 2024,1.0 out of 5 stars,Ok,Ok
